"ParkName","UnitCode","ParkType","NPFlag","Region","States","latitude","longitude","DateCreated","Age","NPS.Fee.Acres","Private.Acres","Gross.Area.Acres","RecreationVisitsTotal2019","RecreationHoursTotal2019","AvgMonthlyVisits2019","AvgMonthlyHours2019","activities","topics","entranceFees"
"Abraham Lincoln Birthplace","ABLI","National Historical Park",0,"Southeast ","KY","37.5858662","-85.67330523",1916-07-17,104,"344.5","0","344.5","238,226","238,226",19852.1666666667,19852.1666666667,"Astronomy, Birdwatching, Bookstore and Park Store, Food, Gift Shop and Souvenirs, Junior Ranger Program, Picnicking, Shopping, Stargazing, Wildlife Watching","Animals, Birds, Birthplace, Caves, Caverns and Karst, Freshwater Springs, Geology, Groundwater, Night Sky, Presidents","Fee Free Park (0.0000)"
"Acadia","ACAD","National Park",1,"Northeast ","ME","44.409286","-68.247501",1916-07-08,105,"37,475.00","821.24","49,076.63","3,437,286","23,195,664",286440.5,1932972,"Arts and Culture, Astronomy, Biking, Birdwatching, Boat Tour, Boating, Bus/Shuttle Guided Tour, Camping, Canoeing, Citizen Science, Climbing, Compass and GPS, Cross-Country Skiing, Cultural Demonstrations, Dining, Fishing, Fly Fishing, Food, Freshwater Fishing, Freshwater Swimming, Front-Country Hiking, Geocaching, Group Camping, Guided Tours, Hands-On, Hiking, Horse Trekking, Horseback Riding, Ice Skating, Junior Ranger Program, Kayaking, Paddling, Park Film, Picnicking, Rock Climbing, Saltwater Fishing, Saltwater Swimming, Skiing, Snow Play, Snowmobiling, Snowshoeing, Stand Up Paddleboarding, Swimming, Wildlife Watching","Animals, Arts, Astronomy, Birds, Catastrophic Fires, Climate Change, Fire, Fish, Geology, Night Sky, Oceans, Painting, Photography, Poetry and Literature, River and Riparian, Sculpture, Tragic Events","Acadia Entrance Fee - Private Vehicle (30.0000), Acadia Entrance Fee - Motorcycle (25.0000), Acadia Entrance Fee - Per Person (15.0000)"
"Adams","ADAM","National Historical Park",0,"Northeast ","MA","42.2553961","-71.01160356",1946-12-09,74,"9.17","10.65","23.82","187,400","187,043",15616.6666666667,15586.9166666667,"Bookstore and Park Store, First Person Interpretation, Guided Tours, Living History, Park Film, Shopping","American Revolution, Women's History","Individual Entrance Fee (15.0000)"
"African American Civil War Memorial","AFAM","",0,NA,"DC","38.916554","-77.025977",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","African American Heritage, Civil War, Monuments and Memorials, Wars and Conflicts","No Entrance Fee (0.0000)"
"African Burial Ground","AFBG","National Monument",0,"Northeast ","NY","40.71452681","-74.00447358",2006-02-27,15,"0.35","0","0.35","47,427","33,765",3952.25,2813.75,"Arts and Culture, Bookstore and Park Store, Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film, Shopping","African American Heritage, Archeology, Burial, Cemetery and Gravesite, Colonization and Settlement, Enslavement, Monuments and Memorials, Social Movements, Urban America, Women's History","Entrance Fee (0.0000)"
"Agate Fossil Beds","AGFO","National Monument",0,"Midwest ","NE","42.42170419","-103.753886",1965-06-05,56,"2,270.33","303.36","3,057.87","16,657","37,706",1388.08333333333,3142.16666666667,"Arts and Culture, Astronomy, Birdwatching, Bookstore and Park Store, Cultural Demonstrations, Food, Guided Tours, Hiking, Junior Ranger Program, Museum Exhibits, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Stargazing, Wildlife Watching","Animals, Birds, Farming and  Agriculture, Fossils and Paleontology, Geology, Grasslands, Homesteading, Native American Heritage, Night Sky, Prairies, Ranches, River and Riparian, Rock Landscapes and Features, Scenic Views, Tortoises and Turtles, Westward Expansion","Admission is free. (0.0000)"
"Alagnak","ALAG","Wild River",0,NA,"AK","59.05180188","-156.112002",1980-12-02,40,"26,417.85","1,981.94","30,664.79",NA,NA,NA,NA,"Backcountry Camping, Boating, Camping, Canoe or Kayak Camping, Fishing, Kayaking, Paddling, Whitewater Rafting","River and Riparian, Wetlands, Wilderness","No Entrance Free (0.0000)"
"Alcatraz Island","ALCA","",0,NA,"CA","37.82676234","-122.4230206",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Birdwatching, Bookstore and Park Store, Food, Shopping, Wildlife Watching","Animals, Birds, Colonization and Settlement, Forts, Hospital, Incarceration, Jails and Prisons, Lighthouses, Maritime, Maritime - Military, Medicine, Military, Native American Heritage, Social Movements, Tribal Conflicts, US Army, Wars and Conflicts","Adult Day Ticket (Ferry plus audio tour) (39.9000), Adult Night Ticket (Ferry plus audio tour) (47.3000), Adult Behind the Scenes Tour Ticket (Ferry plus audio tour) (92.3000)"
"Aleutian Islands World War II","ALEU","National Historic Area",0,NA,"AK","53.9143076","-166.5197218",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auto and ATV, Birdwatching, Guided Tours, Scenic Driving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Wildlife Watching","Archeology, Arctic, Aviation, Battlefields, Coastal Defenses, Coasts, Islands and Atolls, Colonization and Settlement, Forced Marches, Forts, Incarceration, Indigenous and Native Warrior, Maritime, Maritime - Military, Massacres, Military, Monuments and Memorials, Mountains, Native American Heritage, Religion and Spirituality, Scenic Views, Ships and Shipwrecks, Tragic Events, Tundra, US Air Force (Army Air Corps), US Army, US Coast Guard, US Marines, US Navy, Wars and Conflicts, World War II","Land Use Permit - one person (6.0000), Land Use Permit - family (10.0000)"
"Alibates Flint Quarries","ALFL","National Monument",0,"Intermountain ","TX","35.5819662","-101.6717008",1965-08-21,55,"1,079.23","291.74","1,370.97","8,847","22,116",737.25,1843,"Arts and Culture, Camping, Craft Demonstrations, Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film","Geology, Native American Heritage","Alibates Entrance Fee (0.0000)"
