Year,Date,Park Name and Location,Area Name,UnitCode
1916,17-Jul,"Abraham Lincoln Birthplace National Historical Park, Kentucky (originally Abraham Lincoln National Park; redesignated a National Historic Site 1939; renamed and redesignated 1959; redesignated a National Historical Park 2009)",ABRAHAM LINCOLN BIRTHPLACE NHP,ABLI
1916,8-Jul,"Acadia National Park, Maine (originally Sieur de Monts National Monument; redesignated Lafayette National Park 1919; redesignated Acadia National Park 1919)",ACADIA NP,ACAD
1946,9-Dec,"Adams National Historical Park, Massachusetts (originally Adams Mansion National Historic Site; redesignated Adams National Historic Site 1952; redesignated National Historical Park 1998)",ADAMS NHP,ADAM
2006,27-Feb,"African Burial Ground National Monument, New York",AFRICAN BURIAL GROUND NM,AFBG
1965,5-Jun,"Agate Fossil Beds National Monument, Nebraska",AGATE FOSSIL BEDS NM,AGFO
1980,2-Dec,"Alagnak Wild River, Alaska",ALAGNAK WILD RVR,ALAG
1965,21-Aug,"Alibates Flint Quarries National Monument, Texas (formerly Alibates Flint Quarries and Texas Panhandle Pueblo Culture National Monument, redesignated 1978)",ALIBATES FLINT QUARRIES N,ALFL
1964,31-Aug,"Allegheny Portage Railroad National Historic Site, Pennsylvania",ALLEGHENY PRTGE RR NHS,ALPO
1965,11-Nov,"Amistad National Recreation Area, Texas (redesignated 1990)",AMISTAD NRA,AMIS
1970,16-Oct,"Andersonville National Historic Site, Georgia",ANDERSONVILLE NHS,ANDE
1935,29-Aug,"Andrew Johnson National Historic Site, Tennessee (redesignated from a National Monument 1963)",ANDREW JOHNSON NHS,ANJO
1978,1-Dec,"Aniakchak National Monument and Aniakchak National Preserve, Alaska (originally Aniakchak National Monument; designated National Monument and National Preserve by ANILCA 1980)",ANIAKCHAK NM&PRESERVE,ANIA
1890,30-Aug,"Antietam National Battlefield, Maryland (transferred to NPS on August 10, 1933; redesignated from a National Battlefield Site 1978)",ANTIETAM NB,ANTI
1970,26-Sep,"Apostle Islands National Lakeshore, Wisconsin",APOSTLE ISLANDS NL,APIS
1968,2-Oct,"Appalachian National Scenic Trail, Maine",APPALACHIAN NSTRAIL,APPA
1930,18-Jun,"Appomattox Court House National Historical Park, Virginia (authorized as a national historical monument 1935; redesignated 1954)",APPOMATTOX CRT HS NHP,APCO
1929,12-Apr,"Arches National Park, Utah (redesignated from a National Monument 1978)",ARCHES NP,ARCH
1960,6-Jul,"Arkansas Post National Memorial, Arkansas",ARKANSAS POST NMEM,ARPO
1925,4-Mar,"Arlington House, The Robert E. Lee Memorial, Virginia (date restoration authorized; designated Custis-Lee Mansion 1955; redesignated 1972)","ARL HOUSE, R E LEE MEM",ARHO
1965,21-Sep,"Assateague Island National Seashore, Maryland",ASSATEAGUE ISLAND NS,ASIS
1923,21-Jan,"Aztec Ruins National Monument, New Mexico (redesignated 1928)",AZTEC RUINS NM,AZRU
1939,25-Jan,"Badlands National Park, South Dakota (redesignated from a National Monument 1978)",BADLANDS NP,BADL
1916,11-Feb,"Bandelier National Monument, New Mexico",BANDELIER NM,BAND
2016,12-Apr,"Belmont-Paul Women's Equality National Monument, District of Columbia",BELMONT-PAUL WOMENS EQLTY NM,BEPA
1960,3-Jun,"Bent's Old Fort National Historic Site, Colorado",BENT'S OLD FORT NHS,BEOL
1978,1-Dec,"Bering Land Bridge National Preserve, Alaska (redesignated from a National Monument by ANILCA 1980)",BERING LAND BRIDGE NPRES,BELA
1935,20-Jun,"Big Bend National Park, Texas",BIG BEND NP,BIBE
1974,11-Oct,"Big Cypress National Preserve, Florida",BIG CYPRESS NPRESERVE,BICY
1910,23-Jun,"Big Hole Battlefield National Battlefield, Montana (set aside as a military reserve in 1883; redesignated from a National Monument 1963)",BIG HOLE NB,BIHO
1974,7-Mar,"Big South Fork National River and Recreation Area, Tennessee",BIG SOUTH FORK NR&RA,BISO
1974,11-Oct,"Big Thicket National Preserve, Texas",BIG THICKET NPRESERVE,BITH
1966,15-Oct,"Bighorn Canyon National Recreation Area, Montana and Wyoming",BIGHORN CANYON NRA,BICA
2017,13-Jan,"Birmingham Civil Rights National Monument, Alabama",BIRMINGHAM CIVIL RIGHTS NM,BICR
1968,18-Oct,"Biscayne National Park, Florida (incorporated Biscayne National Monument 1980)",BISCAYNE NP,BISC
1933,2-Mar,"Black Canyon of the Gunnison National Park, Colorado (redesignated from a National Monument 1999)",BLACK CANYON OF GUNNISON,BLCA
2014,19-Dec,"Blackstone River Valley National Historical Park, Massachusetts and Rhode Island",BLACKSTONE RIVER VALLEY NHP,BLRV
1933,16-Jun,"Blue Ridge Parkway, North Carolina and Virginia",BLUE RIDGE PKWY,BLRI
1988,26-Dec,"Bluestone National Scenic River, West Virginia",BLUESTONE NSR,BLUE
1956,2-Apr,"Booker T. Washington National Monument, Virginia",BOOKER T WASHINGTON NM,BOWA
1980,10-Oct,"Boston African American National Historic Site, Massachusetts",BOSTON AFRI-AMER NHS,BOAF
1996,12-Nov,"Boston Harbor Islands National Recreation Area, Massachusetts",BOSTON HARBOR ISLAND NRA,BOHA
1974,1-Oct,"Boston National Historical Park, Massachusetts",BOSTON NHP,BOST
1929,21-Feb,"Brices Cross Roads NBS, Mississippi",BRICES CROSS RDS NBS,BRCR
1992,26-Oct,"Brown v. Board of Education National Historic Site, Kansas",BROWN V. BD OF ED. NHS,BRVB
1923,8-Jun,"Bryce Canyon National Park, Utah (redesignated Utah National Park 1924; redesignated from Bryce Canyon National Monument 1928)",BRYCE CANYON NP,BRCA
1961,28-Dec,"Buck Island Reef National Monument, Virgin Islands",BUCK ISLAND REEF NM,BUIS
1972,1-Mar,"Buffalo National River, Arkansas",BUFFALO N RVR,BUFF
1913,14-Oct,"Cabrillo National Monument, California",CABRILLO NM,CABR
2012,8-Oct,"Caesar Chavez National Monument, California",CÉSAR E. CHÁVEZ NM,CECH
2018,26-Oct,"Camp Nelson National Monument, Kentucky",CAMP NELSON NM,CANE
1975,3-Jan,"Canaveral National Seashore, Florida",CANAVERAL NS,CANA
1994,2-Nov,"Cane River Creole National Historical Park, Louisiana",CANE RIVER CREOLE NHP,CARI
1931,14-Feb,"Canyon de Chelly National Monument, Arizona",CANYON DE CHELLY NM,CACH
1964,12-Sep,"Canyonlands National Park, Utah",CANYONLANDS NP,CANY
1961,7-Aug,"Cape Cod National Seashore, Massachusetts",CAPE COD NS,CACO
1937,17-Aug,"Cape Hatteras National Seashore, North Carolina",CAPE HATTERAS NS,CAHA
1978,1-Dec,"Cape Krusenstern National Monument, Alaska",CAPE KRUSENSTERN NM,CAKR
1966,10-Mar,"Cape Lookout National Seashore, North Carolina",CAPE LOOKOUT NS,CALO
1937,2-Aug,"Capitol Reef National Park, Utah (redesignated from a National Monument 1971)",CAPITOL REEF NP,CARE
1916,9-Aug,"Capulin Volcano National Monument, New Mexico (redesignated from Capulin Mountain National Monument 1987)",CAPULIN VOLCANO NM,CAVO
1968,17-Oct,"Carl Sandburg Home National Historic Site, North Carolina",CARL SANDBURG HOME NHS,CARL
1923,25-Oct,"Carlsbad Caverns National Park, New Mexico (redesignated from Carlsbad Cave National Monument 1930)",CARLSBAD CAVERNS NP,CAVE
2006,27-Feb,"Carter G. Woodson Home National Historic Site, District of Columbia",CARTER G. WOODSON NHS,CAWO
1889,2-Mar,"Casa Grande Ruins National Monument, Arizona (authorized as Casa Grande Ruin Reservation; redesignated 1918)",CASA GRANDE RUINS NM,CAGR
1924,15-Oct,"Castillo de San Marcos National Monument, Florida (redesignated from Fort Marion National Monument 1942)",CASTILLO DE SAN MARCOS NM,CASA
1946,12-Aug,"Castle Clinton National Monument, New York",CASTLE CLINTON NM,CACL
2016,12-Feb,"Castle Mountains National Monument, California",CASTLE MOUNTAINS NM,CAMO
1936,14-Nov,"Catoctin Mountain Park, Maryland (renamed from Catoctin Recreational Demonstration Area 1954)",CATOCTIN MT PARK,CATO
1933,22-Aug,"Cedar Breaks National Monument, Utah",CEDAR BREAKS NM,CEBR
2002,19-Dec,"Cedar Creek & Belle Grove National Historical Park, Virginia",CEDAR CREEK/BELLE GROVE NHP,CEBE
1907,11-Mar,"Chaco Culture National Historical Park, New Mexico (incorporated Chaco Canyon National Monument Dec. 19, 1980)",CHACO CULTURE NHP,CHCU
1966,30-Jun,"Chamizal National Memorial, Texas",CHAMIZAL NMEM,CHAM
1938,26-Apr,"Channel Islands National Park, California (incorporated Channel Islands National Monument 1980)",CHANNEL ISLANDS NP,CHIS
1988,8-Sep,"Charles Pinckney National Historic Site, South Carolina",CHARLES PINCKNEY NHS,CHPI
2013,25-Mar,"Charles Young Buffalo Soldiers National Monument, Ohio",CHARLES YOUNG BUFF SOLDRS NM,CHYO
1978,15-Aug,"Chattahoochee National Recreation Area, Georgia",CHATTAHOOCHEE RVR NRA,CHAT
1938,23-Sep,"Chesapeake and Ohio Canal National Historical Park, District of Columbia, Maryland, and West Virginia (incorporated Chesapeake and Ohio Canal National Monument)",C & O CANAL NHP,CHOH
1890,19-Aug,"Chickamauga and Chattanooga National Military Park, Georgia and Tennessee",CHICK & CHATT NMP,CHCH
1902,1-Jul,"Chickasaw National Recreation Area, Oklahoma (incorporated Platt National Park and Arbuckle National Recreation Area March 17, 1976)",CHICKASAW NRA,CHIC
1924,18-Apr,"Chiricahua National Monument, Arizona",CHIRICAHUA NM,CHIR
1952,4-Mar,"Christiansted National Historic Site, Virgin Islands (redesignated from Virgin Islands National Historic Site 1961)",CHRISTIANSTED NHS,CHRI
1988,18-Nov,"City of Rocks National Reserve, Idaho",CITY OF ROCKS NRESERVE,CIRO
1974,26-Oct,"Clara Barton National Historic Site, Maryland",CLARA BARTON NHS,CLBA
1930,30-Dec,"Colonial National Historical Park, Virginia (authorized July 3, 1930; redesignated from a National Monument 1936)",COLONIAL NHP,COLO
1911,24-May,"Colorado National Monument, Colorado",COLORADO NM,COLM
1976,18-Oct,"Congaree National Park, South Carolina (redesignated from a National Monument 2003)",CONGAREE NP,CONG
1974,1-Aug,"Constitution Gardens, District of Columbia",CONSTITUTION GARDENS,COGA
1952,9-Jul,"Coronado National Memorial, Arizona",CORONADO NMEM,CORO
1929,4-Mar,"Cowpens National Battlefield, South Carolina (transferred to NPS August 10, 1933; redesignated from a national battlefield site in 1972)",COWPENS NB,COWP
1902,22-May,"Crater Lake National Park, Oregon",CRATER LAKE NP,CRLA
1924,2-May,"Craters of the Moon National Monument and Craters of the Moon National Preserve, Idaho (preserve designated August 21, 2002)",CRATERS OF THE MOON NPRES,CRMO
1940,11-Jun,"Cumberland Gap National Historical Park, Kentucky, Tennessee, and Virginia",CUMBERLAND GAP NHP,CUGA
1972,23-Oct,"Cumberland Island National Seashore, Georgia",CUMBERLAND ISLAND NS,CUIS
1965,11-Feb,"Curecanti National Recreation Area, Colorado",CURECANTI NRA,CURE
1975,26-Jun,"Cuyahoga Valley National Park, Ohio (redesignated from a National Recreation Area 2000)",CUYAHOGA VALLEY NP,CUVA
1992,16-Oct,"Dayton Aviation Heritage National Historical Park, Ohio",DAYTON AVIATION HR NHP,DAAV
1948,11-Mar,"De Soto National Memorial, Florida",DE SOTO NMEM,DESO
1933,11-Feb,"Death Valley National Park, California (incorporated Death Valley National Monument)",DEATH VALLEY NP,DEVA
