ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,1,"1,939",0,"1,939",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,2,"6,534",0,"6,534",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,3,"14,566",0,"14,566",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,4,"16,496",0,"16,496",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,5,"24,646",0,"24,646",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,6,"26,854",0,"26,854",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,7,"37,334",0,"37,334",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,8,"34,816",0,"34,816",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,9,"32,877",0,"32,877",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,10,"19,425",0,"19,425",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,11,"15,975",0,"15,975",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,12,"6,764",0,"6,764",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2019,1,"8,532",600,"56,311",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,2,"9,154",600,"60,414",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,3,"20,161",600,"133,064",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,4,"68,046",600,"394,023",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,5,"226,156","7,500","1,670,692","7,500",0,4,"10,416","3,327",0,0,"1,012",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,6,"490,720","7,500","3,731,975","7,500",0,102,"23,721","10,383",263,0,"1,851",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,7,"756,439","7,500","5,049,909","7,500",0,117,"36,135","11,853",357,0,"3,222",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,8,"759,735","7,500","5,159,613","7,500",0,242,"39,093","11,637",396,0,"3,806",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,9,"603,273","7,500","3,807,421","7,500",0,500,"22,425","15,174",185,0,"1,393",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,10,"436,194","6,000","2,778,987","6,000",0,125,"9,195","5,322",83,0,390,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,11,"46,011",600,"276,064",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,12,"12,865",600,"77,191",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,1,27,0,14,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,2,179,0,90,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,3,253,0,126,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,4,537,0,537,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,5,"13,187",0,"13,187",0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,6,"23,963",0,"23,963",0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,7,"75,333",0,"75,333",0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,8,"26,011",0,"26,011",0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,9,"19,602",0,"19,602",0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,10,"22,021",0,"22,021",0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,11,"6,031",0,"6,031",0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,12,256,0,128,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,"187,400",0,"187,043",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,1,96,0,96,0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,2,"1,571",0,"1,571",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,3,"1,395",0,"1,395",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,4,"5,022",0,"3,234",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,5,"5,482",0,"3,528",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,6,"4,621",0,"3,262",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,7,"5,520",0,"3,552",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,8,"4,332",0,"2,731",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,9,"4,384",0,"2,633",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,10,"8,667",0,"5,426",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,11,"2,058",0,"2,058",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,12,"4,279",0,"4,279",0,0,0,0,0,0,0,0,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,"47,427",0,"33,765",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,1,0,0,0,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,"16,657",0,"37,706",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,2,94,0,194,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,"16,657",0,"37,706",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,3,401,0,858,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,"16,657",0,"37,706",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,4,391,0,957,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,"16,657",0,"37,706",0,0,0,0,0,0,0,0
